denom,symbol,group,group2,group2_order
terra1zmclyfepfmqvfqflu8r3lv6f75trmg05z7xq95,whDAI,wrapped_asset,Non-Terra Asset,4
terra1kkyyh7vganlpkj0gkc2rfmhy858ma4rtwywe3x,whUSDC,wrapped_asset,Non-Terra Asset,4
terra1dx9f62gmeyjerskc3uf5pyuwq3vhwuf6a8wpn4,wh,wrapped_asset,Non-Terra Asset,4
terra1aa7upykmmqqc63l924l5qfap8mrmx5rfdm0v55,whWBTC,wrapped_asset,Non-Terra Asset,4
terra1v584dmdvtlh7rpa22cslnzwkennm39ud5ngdld,whONT,wrapped_asset,Non-Terra Asset,4
terra1yljlrxvkar0c6ujpvf8g57m5rpcwl7r032zyvu,whUSDC,wrapped_asset,Non-Terra Asset,4
terra1k7tstwhf25wm45x329ny84xe4n2z2nnq9ekuv2,wh,wrapped_asset,Non-Terra Asset,4
terra1xu3nyee55dfe5vxqtg9m4rkex8u2t6n2etl08h,whUSDT,wrapped_asset,Non-Terra Asset,4
terra1skjr69exm6v8zellgjpaa2emhwutrk5a6dz7dd,whBUSD,wrapped_asset,Non-Terra Asset,4
terra132zppkzw88j35hpwxkrpzymujekky3wcuru65n,whATOM,wrapped_asset,Non-Terra Asset,4
terra103c6z8jq8s2yszvxj9mpah0jlvky2pek54f2yg,wh,wrapped_asset,Non-Terra Asset,4
terra1jpkhwg9skkgml95v8y8hhp8n2wlktzqx6w2gzc,whRIN,wrapped_asset,Non-Terra Asset,4
terra1mzm7nflz93qm7qhftykquv3yklyepwn4x2ujuw,whBETH,wrapped_asset,Non-Terra Asset,4
terra1pepwcav40nvj3kh60qqgrk8k07ydmc00xyat06,whUSDC,wrapped_asset,Non-Terra Asset,4
terra1jlh9xlyahg2d2qwat8jl4evqzuua452dafzqs5,whWETH,wrapped_asset,Non-Terra Asset,4
terra1kcthelkax4j9x8d3ny6sdag0qmxxynl3qtcrpy,MINE,MINE,Other Terra Asset,3
