date,PriceUSD
4/03/2011,0.9011
5/03/2011,0.907840607
6/03/2011,0.884770973
7/03/2011,0.877583864
8/03/2011,0.866071591
9/03/2011,0.86
10/03/2011,0.92067031
11/03/2011,0.88
12/03/2011,0.917815513
13/03/2011,0.89249
14/03/2011,0.893924923
15/03/2011,0.87224
16/03/2011,0.851211666
17/03/2011,0.82542
18/03/2011,0.801959208
19/03/2011,0.765
20/03/2011,0.7415
21/03/2011,0.75897
22/03/2011,0.809130293
23/03/2011,0.84971
24/03/2011,0.872374366
25/03/2011,0.88377
26/03/2011,0.8552
27/03/2011,0.822
28/03/2011,0.7947405
29/03/2011,0.792509942
30/03/2011,0.789706312
31/03/2011,0.78461
1/04/2011,0.77411
2/04/2011,0.78199
3/04/2011,0.779
4/04/2011,0.68
5/04/2011,0.715691835
6/04/2011,0.74
7/04/2011,0.7538
8/04/2011,0.74999
9/04/2011,0.734060517
10/04/2011,0.733156821
11/04/2011,0.770113933
12/04/2011,0.861381608
13/04/2011,0.930320058
14/04/2011,0.998629766
15/04/2011,0.983673137
16/04/2011,1.046632858
17/04/2011,1.098122098
18/04/2011,1.149433312
19/04/2011,1.185162221
20/04/2011,1.142125985
21/04/2011,1.207338872
22/04/2011,1.404505082
23/04/2011,1.828852301
24/04/2011,1.63198422
25/04/2011,1.564483635
26/04/2011,1.77084089
27/04/2011,1.903175959
28/04/2011,2.285744466
29/04/2011,2.85060509
30/04/2011,3.5
1/05/2011,3.094227553
2/05/2011,3.2
3/05/2011,3.360585704
4/05/2011,3.408673047
5/05/2011,3.343736684
6/05/2011,3.455075584
7/05/2011,3.641262978
8/05/2011,3.848668377
9/05/2011,3.804089582
10/05/2011,5.651667002
11/05/2011,5.439751044
12/05/2011,6.334878694
13/05/2011,8.139034867
14/05/2011,7.007243829
15/05/2011,6.924924845
16/05/2011,7.885140745
17/05/2011,7.257199541
18/05/2011,6.763163362
19/05/2011,6.890143632
20/05/2011,5.618096219
21/05/2011,6.084800667
22/05/2011,6.71195604
23/05/2011,7.065256784
24/05/2011,7.402660582
25/05/2011,8.569289637
26/05/2011,8.782155434
27/05/2011,8.528658468
28/05/2011,8.34926912
29/05/2011,8.400953472
30/05/2011,8.779342465
31/05/2011,8.721576422
1/06/2011,9.623777232
2/06/2011,10.70276023
3/06/2011,14.26464677
4/06/2011,18.31273873
5/06/2011,16.5433424
6/06/2011,18.40209864
7/06/2011,23.23787846
8/06/2011,29.02992133
9/06/2011,28.79054402
10/06/2011,24.04939923
11/06/2011,14.74974663
12/06/2011,18.85014473
13/06/2011,19.54232911
14/06/2011,19.25773551
15/06/2011,19.46414262
16/06/2011,17.92936254
17/06/2011,15.43636891
18/06/2011,16.87540454
19/06/2011,17.51071679
20/06/2011,17.51071679
21/06/2011,17.51071679
22/06/2011,17.51071679
23/06/2011,17.51071679
24/06/2011,17.51071679
25/06/2011,17.51071679
26/06/2011,16.36134202
27/06/2011,16.75228581
28/06/2011,16.96183531
29/06/2011,16.85456832
30/06/2011,16.18526278
1/07/2011,15.4203574
2/07/2011,15.38284407
3/07/2011,15.45755056
4/07/2011,13.85279681
5/07/2011,12.96481771
6/07/2011,14.71478358
7/07/2011,14.79728916
8/07/2011,14.2990377
9/07/2011,14.38150067
10/07/2011,14.62293755
11/07/2011,14.31015543
12/07/2011,14.02127262
13/07/2011,13.97145452
14/07/2011,13.99797455
15/07/2011,13.80639041
16/07/2011,13.7130793
17/07/2011,13.25813531
18/07/2011,13.63052125
19/07/2011,13.82479484
20/07/2011,13.67833059
21/07/2011,13.61180844
